bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
D9DEE0,RAL_860-1,RAL 860-1,"[7, 4, 5, 0]","[5, 5, 3, 0]",#D9DEE0,"[217, 222, 224]"
D1D5D9,RAL_860-2,RAL 860-2,"[11, 7, 5, 10]","[7, 7, 5, 0]",#D1D5D9,"[209, 213, 217]"
C4C7CB,RAL_860-3,RAL 860-3,"[23, 16, 15, 5]","[10, 10, 5, 3]",#C4C7CB,"[196, 199, 203]"
9EA0A2,RAL_860-4,RAL 860-4,"[11, 11, 10, 45]","[20, 20, 10, 19]",#9EA0A2,"[158, 160, 162]"
7D8181,RAL_860-5,RAL 860-5,"[21, 14, 20, 60]","[17, 10, 5, 50]",#7D8181,"[125, 129, 129]"
5F6667,RAL_860-6,RAL 860-6,"[29, 21, 25, 70]","[40, 5, 10, 69]",#5F6667,"[95, 102, 103]"
B0AEAC,RAL_860-M,RAL 860-M,"[41, 32, 35, 10]","[5, 5, 6, 20]",#B0AEAC,"[176, 174, 172]"
D5D4D5,RAL_870-1,RAL 870-1,"[11, 13, 10, 10]","[3, 3, 5, 5]",#D5D4D5,"[213, 212, 213]"
9A9A9A,RAL_870-2,RAL 870-2,"[37, 31, 35, 30]","[20, 20, 10, 22]",#9A9A9A,"[154, 154, 154]"
68696D,RAL_870-3,RAL 870-3,"[24, 29, 20, 70]","[10, 5, 0, 73]",#68696D,"[104, 105, 109]"
575558,RAL_870-4,RAL 870-4,"[0, 17, 10, 90]","[30, 10, 0, 88]",#575558,"[87, 85, 88]"
535254,RAL_870-5,RAL 870-5,"[17, 29, 25, 90]","[70, 70, 60, 81]",#535254,"[83, 82, 84]"
484546,RAL_870-6,RAL 870-6,"[29, 46, 30, 90]","[50, 90, 70, 91]",#484546,"[72, 69, 70]"
635D5E,RAL_870-M,RAL 870-M,"[27, 36, 35, 80]","[10, 30, 10, 91]",#635D5E,"[99, 93, 94]"
