bgcolor,ral_code,name,cmyk_coated,cmyk_uncoated,html_hex,rgb
CB8D73,RAL 3012,Бежево-красный,"[5, 50, 50, 10]","[20, 60, 50, 0]",#CB8D73,"[203, 141, 115]"
9C322E,RAL 3013,Томатно-красный,"[20, 90, 100, 20]","[0, 100, 100, 15]",#9C322E,"[156, 50, 46]"
D47479,RAL 3014,Розовый антик,"[0, 70, 30, 10]","[10, 70, 40, 0]",#D47479,"[212, 116, 121]"
E1A6AD,RAL 3015,Светло-розовый,"[0, 50, 20, 10]","[10, 40, 10, 0]",#E1A6AD,"[225, 166, 173]"
AC4034,RAL 3016,Кораллово-красный,"[0, 90, 90, 20]","[0, 90, 90, 10]",#AC4034,"[172, 64, 52]"
D3545F,RAL 3017,Розовый,"[0, 80, 50, 10]","[0, 80, 40, 0]",#D3545F,"[211, 84, 95]"
D14152,RAL 3018,Клубнично-красный,"[5, 90, 70, 5]","[0, 90, 100, 0]",#D14152,"[209, 65, 82]"
C1121C,RAL 3020,Транспортный красный,"[0, 100, 100, 10]","[0, 90, 90, 0]",#C1121C,"[193, 18, 28]"
D56D56,RAL 3022,Лососёво-красный,"[0, 60, 70, 0]","[0, 70, 60, 0]",#D56D56,"[213, 109, 86]"
B42041,RAL 3027,Малиново-красный,"[0, 100, 70, 20]","[0, 100, 60, 15]",#B42041,"[180, 32, 65]"
CB3334,RAL 3028,Красный,"[5, 100, 100, 0]","[5, 100, 100, 0]",#CB3334,"[203, 51, 52]"
AC323B,RAL 3031,Ориент красный,"[20, 100, 90, 20]","[0, 90, 60, 15]",#AC323B,"[172, 50, 59]"
8A5A83,RAL 4001,Красно-сиреневый,"[60, 70, 5, 10]","[50, 97, 20, 0]",#8A5A83,"[138, 90, 131]"
933D50,RAL 4002,Красно-фиолетовый,"[40, 100, 90, 5]","[0, 100, 40, 30]",#933D50,"[147, 61, 80]"
D15B8F,RAL 4003,Вересково-фиолетовый,"[10, 70, 10, 0]","[7, 90, 0, 0]",#D15B8F,"[209, 91, 143]"
691639,RAL 4004,Бордово-фиолетовый,"[60, 100, 50, 20]","[10, 100, 0, 50]",#691639,"[105, 22, 57]"
83639D,RAL 4005,Сине-сиреневый,"[60, 100, 5, 10]","[50, 60, 0, 0]",#83639D,"[131, 99, 157]"
992572,RAL 4006,Транспортный пурпурный,"[50, 100, 0, 10]","[30, 100, 0, 0]",#992572,"[153, 37, 114]"
4A203B,RAL 4007,Пурпурно-фиолетовый,"[70, 100, 20, 60]","[90, 0, 10, 25]",#4A203B,"[74, 32, 59]"
904684,RAL 4008,Сигнальный фиолетовый,"[60, 90, 0, 10]","[30, 100, 0, 0]",#904684,"[144, 70, 132]"
A38995,RAL 4009,Пастельно-фиолетовый,"[40, 40, 30, 0]","[17, 40, 10, 15]",#A38995,"[163, 137, 149]"
C63678,RAL 4010,Телемагента,"[10, 90, 30, 0]","[0, 100, 0, 0]",#C63678,"[198, 54, 120]"
384C70,RAL 5000,Фиолетово-синий,"[100, 40, 5, 40]","[100, 70, 10, 25]",#384C70,"[56, 76, 112]"
1F4764,RAL 5001,Зелёно-синий,"[90, 20, 0, 80]","[100, 50, 10, 20]",#1F4764,"[31, 71, 100]"
2B2C7C,RAL 5002,Ультрамариново-синий,"[100, 70, 0, 40]","[100, 90, 0, 0]",#2B2C7C,"[43, 44, 124]"
2A3756,RAL 5003,Сапфирово-синий,"[100, 50, 0, 80]","[90, 0, 10, 25]",#2A3756,"[42, 55, 86]"
1D1F2A,RAL 5004,Чёрно-синий,"[100, 100, 70, 40]","[84, 53, 47, 56]",#1D1F2A,"[29, 31, 42]"
