bgcolor,name,value1,value2,value3,value4,hex,r,g,b
d497b0,PANTONE 507,4,51,7,6,#D497B0,212,151,176
e3afc4,PANTONE 508,1,41,4,2,#E3AFC4,227,175,196
eabbce,PANTONE 509,1,36,3,0,#EABBCE,234,187,206
efc6d3,PANTONE 510,0,30,3,0,#EFC6D3,239,198,211
622a52,PANTONE 511,50,99,9,59,#622A52,98,42,82
85367b,PANTONE 512,53,99,3,18,#85367B,133,54,123
983b90,PANTONE 513,53,99,0,0,#983B90,152,59,144
cd95c0,PANTONE 514,16,55,0,0,#CD95C0,205,149,192
dcadcd,PANTONE 515,8,42,0,0,#DCADCD,220,173,205
e5c0d7,PANTONE 516,4,31,0,0,#E5C0D7,229,192,215
eac9dc,PANTONE 517,2,25,0,0,#EAC9DC,234,201,220
4f2f44,PANTONE 518,55,86,20,63,#4F2F44,79,47,68
5e2d5d,PANTONE 519,65,95,9,40,#5E2D5D,94,45,93
6a3274,PANTONE 520,67,95,4,16,#6A3274,106,50,116
ab84b6,PANTONE 521,34,56,0,0,#AB84B6,171,132,182
bea0c7,PANTONE 522,24,44,0,0,#BEA0C7,190,160,199
ceb6d4,PANTONE 523,16,33,0,0,#CEB6D4,206,182,212
dbc7dd,PANTONE 524,10,23,0,0,#DBC7DD,219,199,221
572a5d,PANTONE 525,69,100,4,45,#572A5D,87,42,93
743a8d,PANTONE 526,73,100,0,0,#743A8D,116,58,141
7b3f92,PANTONE 527,69,99,0,0,#7B3F92,123,63,146
ae8cbd,PANTONE 528,35,58,0,0,#AE8CBD,174,140,189
c0a2ca,PANTONE 529,23,45,0,0,#C0A2CA,192,162,202
d1b8d5,PANTONE 530,15,33,0,0,#D1B8D5,209,184,213
ddc7dd,PANTONE 531,9,24,0,0,#DDC7DD,221,199,221
282932,PANTONE 532,88,76,30,82,#282932,40,41,50
263147,PANTONE 533,95,72,15,67,#263147,38,49,71
2c4068,PANTONE 534,95,74,7,44,#2C4068,44,64,104
90a2bf,PANTONE 535,43,25,3,8,#90A2BF,144,162,191
a3b3cb,PANTONE 536,34,17,2,7,#A3B3CB,163,179,203
c1cfdd,PANTONE 537,21,7,2,3,#C1CFDD,193,207,221
cfd9e3,PANTONE 538,14,4,1,3,#CFD9E3,207,217,227
1d2e43,PANTONE 539,100,65,22,80,#1D2E43,29,46,67
163d5c,PANTONE 540,100,57,12,66,#163D5C,22,61,92
154b75,PANTONE 541,100,58,9,46,#154B75,21,75,117
70a7d0,PANTONE 542,60,19,1,4,#70A7D0,112,167,208
a7c6e4,PANTONE 543,37,9,0,1,#A7C6E4,167,198,228
bdd6e7,PANTONE 544,27,4,1,1,#BDD6E7,189,214,231
c9dfee,PANTONE 545,21,2,0,1,#C9DFEE,201,223,238
112e3a,PANTONE 546,100,41,35,87,#112E3A,17,46,58
053745,PANTONE 547,100,35,32,82,#053745,5,55,69
004455,PANTONE 548,100,21,28,76,#004455,0,68,85
619eb7,PANTONE 549,56,8,9,21,#619EB7,97,158,183
8cb6ca,PANTONE 550,42,7,8,8,#8CB6CA,140,182,202
9cc3d1,PANTONE 551,35,3,8,7,#9CC3D1,156,195,209
bfd5dd,PANTONE 552,24,3,7,2,#BFD5DD,191,213,221
325040,PANTONE 553,82,30,65,76,#325040,50,80,64
336447,PANTONE 554,84,22,77,60,#336447,51,100,71
3a7050,PANTONE 555,80,17,76,51,#3A7050,58,112,80
79a78d,PANTONE 556,54,8,47,14,#79A78D,121,167,141
8cb4a1,PANTONE 557,44,4,37,10,#8CB4A1,140,180,161
a3c4b6,PANTONE 558,36,3,28,4,#A3C4B6,163,196,182
b2cec0,PANTONE 559,29,2,24,3,#B2CEC0,178,206,192
2a4538,PANTONE 560,79,30,63,80,#2A4538,42,69,56
236151,PANTONE 561,84,20,58,54,#236151,35,97,81
167565,PANTONE 562,85,12,53,36,#167565,22,117,101
79bbab,PANTONE 563,54,0,29,2,#79BBAB,121,187,171
96c9bc,PANTONE 564,43,0,23,0,#96C9BC,150,201,188
b4d6cb,PANTONE 565,30,0,18,0,#B4D6CB,180,214,203
d2e3d7,PANTONE 566,17,0,12,0,#D2E3D7,210,227,215
214c3d,PANTONE 567,88,33,69,72,#214C3D,33,76,61
06715c,PANTONE 568,90,14,62,43,#06715C,6,113,92
008f75,PANTONE 569,90,9,60,15,#008F75,0,143,117
82c6b0,PANTONE 570,57,0,36,0,#82C6B0,130,198,176
a6d3c1,PANTONE 571,40,0,25,0,#A6D3C1,166,211,193
beddce,PANTONE 572,27,0,18,0,#BEDDCE,190,221,206
cae2d6,PANTONE 573,20,0,14,0,#CAE2D6,202,226,214
4c5828,PANTONE 574,56,22,98,72,#4C5828,76,88,40
658237,PANTONE 575,55,9,95,45,#658237,101,130,55
779b3d,PANTONE 576,54,5,94,24,#779B3D,119,155,61
b3cc84,PANTONE 577,35,2,58,0,#B3CC84,179,204,132
c2d89a,PANTONE 578,27,0,48,0,#C2D89A,194,216,154
c7daa0,PANTONE 579,24,0,43,0,#C7DAA0,199,218,160
cddead,PANTONE 580,20,0,36,0,#CDDEAD,205,222,173
655f1c,PANTONE 581,25,19,100,70,#655F1C,101,95,28
