bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
B6CED9,RAL_230_80_10,RAL 230 80 10,"[32, 11, 12, 1]","[29, 9, 9, 0]",#B6CED9,"[182, 206, 217]"
AACDDC,RAL_230_80_15,RAL 230 80 15,"[37, 9, 11, 0]","[35, 8, 8, 0]",#AACDDC,"[170, 205, 220]"
A2CFE4,RAL_230_80_20,RAL 230 80 20,"[40, 6, 8, 0]","[37, 6, 5, 0]",#A2CFE4,"[162, 207, 228]"
DAE8E9,RAL_230_90_05,RAL 230 90 05,"[17, 4, 9, 0]","[15, 4, 7, 0]",#DAE8E9,"[218, 232, 233]"
223949,RAL_240_20_15,RAL 240 20 15,"[82, 56, 39, 58]","[89, 54, 30, 57]",#223949,"[34, 57, 73]"
1A374F,RAL_240_20_20,RAL 240 20 20,"[86, 57, 32, 56]","[92, 62, 27, 53]",#1A374F,"[26, 55, 79]"
153651,RAL_240_20_22,RAL 240 20 22,"[88, 60, 28, 55]","[94, 66, 25, 50]",#153651,"[21, 54, 81]"
434C52,RAL_240_30_05,RAL 240 30 05,"[67, 50, 45, 47]","[70, 49, 38, 48]",#434C52,"[67, 76, 82]"
3E505C,RAL_240_30_10,RAL 240 30 10,"[72, 49, 40, 44]","[77, 47, 32, 44]",#3E505C,"[62, 80, 92]"
364F61,RAL_240_30_15,RAL 240 30 15,"[75, 49, 35, 43]","[82, 48, 27, 42]",#364F61,"[54, 79, 97]"
2C4F66,RAL_240_30_20,RAL 240 30 20,"[79, 48, 31, 43]","[87, 47, 22, 42]",#2C4F66,"[44, 79, 102]"
214E6C,RAL_240_30_25,RAL 240 30 25,"[83, 49, 24, 41]","[94, 53, 20, 35]",#214E6C,"[33, 78, 108]"
124D73,RAL_240_30_30,RAL 240 30 30,"[87, 51, 18, 38]","[96, 57, 16, 30]",#124D73,"[18, 77, 115]"
024C77,RAL_240_30_35,RAL 240 30 35,"[91, 51, 14, 37]","[99, 57, 11, 30]",#024C77,"[2, 76, 119]"
586169,RAL_240_40_05,RAL 240 40 05,"[61, 45, 40, 35]","[62, 45, 34, 33]",#586169,"[88, 97, 105]"
526470,RAL_240_40_10,RAL 240 40 10,"[65, 44, 35, 33]","[67, 44, 30, 29]",#526470,"[82, 100, 112]"
4A6679,RAL_240_40_15,RAL 240 40 15,"[69, 42, 30, 31]","[74, 45, 27, 23]",#4A6679,"[74, 102, 121]"
3E647E,RAL_240_40_20,RAL 240 40 20,"[73, 43, 25, 29]","[81, 50, 25, 18]",#3E647E,"[62, 100, 126]"
366586,RAL_240_40_25,RAL 240 40 25,"[76, 43, 21, 27]","[85, 50, 21, 13]",#366586,"[54, 101, 134]"
23638D,RAL_240_40_30,RAL 240 40 30,"[81, 44, 15, 25]","[92, 52, 16, 8]",#23638D,"[35, 99, 141]"
176291,RAL_240_40_35,RAL 240 40 35,"[85, 44, 11, 24]","[95, 52, 12, 9]",#176291,"[23, 98, 145]"
0D6399,RAL_240_40_40,RAL 240 40 40,"[88, 47, 8, 19]","[97, 54, 8, 7]",#0D6399,"[13, 99, 153]"
717A80,RAL_240_50_05,RAL 240 50 05,"[53, 38, 35, 24]","[52, 36, 29, 22]",#717A80,"[113, 122, 128]"
687C8B,RAL_240_50_10,RAL 240 50 10,"[58, 38, 29, 22]","[58, 36, 24, 18]",#687C8B,"[104, 124, 139]"
617D91,RAL_240_50_15,RAL 240 50 15,"[62, 36, 26, 20]","[63, 36, 22, 15]",#617D91,"[97, 125, 145]"
547C97,RAL_240_50_20,RAL 240 50 20,"[66, 36, 21, 19]","[70, 38, 19, 11]",#547C97,"[84, 124, 151]"
4A7DA0,RAL_240_50_25,RAL 240 50 25,"[69, 36, 16, 17]","[75, 40, 16, 6]",#4A7DA0,"[74, 125, 160]"
3A7CA5,RAL_240_50_30,RAL 240 50 30,"[73, 36, 13, 15]","[79, 41, 14, 3]",#3A7CA5,"[58, 124, 165]"
267AAC,RAL_240_50_35,RAL 240 50 35,"[78, 37, 8, 12]","[85, 41, 8, 2]",#267AAC,"[38, 122, 172]"
1E7BB3,RAL_240_50_40,RAL 240 50 40,"[81, 38, 5, 8]","[88, 41, 5, 0]",#1E7BB3,"[30, 123, 179]"
8A959D,RAL_240_60_05,RAL 240 60 05,"[45, 31, 27, 14]","[44, 29, 22, 12]",#8A959D,"[138, 149, 157]"
7E94A3,RAL_240_60_10,RAL 240 60 10,"[51, 29, 24, 13]","[50, 27, 19, 11]",#7E94A3,"[126, 148, 163]"
7796AB,RAL_240_60_15,RAL 240 60 15,"[54, 28, 20, 12]","[54, 26, 16, 8]",#7796AB,"[119, 150, 171]"
6F97B3,RAL_240_60_20,RAL 240 60 20,"[57, 27, 16, 10]","[58, 27, 13, 5]",#6F97B3,"[111, 151, 179]"
6397BB,RAL_240_60_25,RAL 240 60 25,"[62, 26, 12, 8]","[64, 27, 10, 3]",#6397BB,"[99, 151, 187]"
5896C2,RAL_240_60_30,RAL 240 60 30,"[65, 28, 8, 5]","[67, 28, 6, 1]",#5896C2,"[88, 150, 194]"
4396CA,RAL_240_60_35,RAL 240 60 35,"[69, 27, 4, 2]","[71, 26, 3, 0]",#4396CA,"[67, 150, 202]"
3497CD,RAL_240_60_40,RAL 240 60 40,"[72, 26, 4, 1]","[75, 24, 2, 0]",#3497CD,"[52, 151, 205]"
A3AEB6,RAL_240_70_05,RAL 240 70 05,"[37, 23, 21, 7]","[35, 21, 17, 5]",#A3AEB6,"[163, 174, 182]"
9CAFBD,RAL_240_70_10,RAL 240 70 10,"[41, 22, 18, 6]","[39, 20, 14, 5]",#9CAFBD,"[156, 175, 189]"
93B0C5,RAL_240_70_15,RAL 240 70 15,"[45, 20, 14, 5]","[43, 19, 11, 3]",#93B0C5,"[147, 176, 197]"
88B0CD,RAL_240_70_20,RAL 240 70 20,"[49, 19, 10, 3]","[48, 18, 7, 1]",#88B0CD,"[136, 176, 205]"
7EB1D4,RAL_240_70_25,RAL 240 70 25,"[53, 18, 7, 2]","[51, 16, 4, 0]",#7EB1D4,"[126, 177, 212]"
74B1DB,RAL_240_70_30,RAL 240 70 30,"[56, 18, 4, 0]","[55, 16, 2, 0]",#74B1DB,"[116, 177, 219]"
BDCAD0,RAL_240_80_05,RAL 240 80 05,"[29, 14, 15, 2]","[26, 13, 12, 2]",#BDCAD0,"[189, 202, 208]"
B9CEDA,RAL_240_80_10,RAL 240 80 10,"[31, 11, 11, 1]","[28, 10, 8, 0]",#B9CEDA,"[185, 206, 218]"
AECDE1,RAL_240_80_15,RAL 240 80 15,"[35, 10, 8, 0]","[33, 9, 5, 0]",#AECDE1,"[174, 205, 225]"
A5CFEB,RAL_240_80_20,RAL 240 80 20,"[39, 8, 3, 0]","[36, 7, 2, 0]",#A5CFEB,"[165, 207, 235]"
DCE8EF,RAL_240_90_05,RAL 240 90 05,"[16, 4, 5, 0]","[14, 4, 4, 0]",#DCE8EF,"[220, 232, 239]"
1B3752,RAL_250_20_20,RAL 250 20 20,"[86, 61, 30, 53]","[93, 67, 26, 48]",#1B3752,"[27, 55, 82]"
1D375A,RAL_250_20_25,RAL 250 20 25,"[89, 65, 22, 49]","[98, 75, 21, 42]",#1D375A,"[29, 55, 90]"
394E62,RAL_250_30_15,RAL 250 30 15,"[75, 52, 34, 42]","[81, 54, 27, 40]",#394E62,"[57, 78, 98]"
2A4C68,RAL_250_30_20,RAL 250 30 20,"[80, 53, 27, 41]","[91, 60, 24, 34]",#2A4C68,"[42, 76, 104]"
2A4D70,RAL_250_30_25,RAL 250 30 25,"[82, 55, 22, 36]","[92, 65, 22, 25]",#2A4D70,"[42, 77, 112]"
1E4D7A,RAL_250_30_30,RAL 250 30 30,"[86, 57, 15, 31]","[95, 68, 13, 20]",#1E4D7A,"[30, 77, 122]"
566473,RAL_250_40_10,RAL 250 40 10,"[64, 45, 34, 31]","[66, 47, 29, 28]",#566473,"[86, 100, 115]"
4E637A,RAL_250_40_15,RAL 250 40 15,"[68, 46, 29, 29]","[73, 51, 26, 22]",#4E637A,"[78, 99, 122]"
43627F,RAL_250_40_20,RAL 250 40 20,"[73, 47, 24, 28]","[80, 55, 24, 16]",#43627F,"[67, 98, 127]"
386188,RAL_250_40_25,RAL 250 40 25,"[76, 48, 18, 25]","[85, 58, 18, 9]",#386188,"[56, 97, 136]"
2F608D,RAL_250_40_30,RAL 250 40 30,"[80, 50, 14, 22]","[91, 61, 16, 5]",#2F608D,"[47, 96, 141]"
205F94,RAL_250_40_35,RAL 250 40 35,"[84, 52, 9, 19]","[93, 62, 11, 5]",#205F94,"[32, 95, 148]"
11609B,RAL_250_40_40,RAL 250 40 40,"[88, 52, 6, 15]","[95, 59, 5, 5]",#11609B,"[17, 96, 155]"
6D7B8B,RAL_250_50_10,RAL 250 50 10,"[56, 39, 28, 20]","[56, 38, 23, 18]",#6D7B8B,"[109, 123, 139]"
657B92,RAL_250_50_15,RAL 250 50 15,"[60, 39, 24, 18]","[62, 40, 20, 13]",#657B92,"[101, 123, 146]"
5D7B9A,RAL_250_50_20,RAL 250 50 20,"[64, 40, 19, 16]","[67, 42, 17, 9]",#5D7B9A,"[93, 123, 154]"
527AA0,RAL_250_50_25,RAL 250 50 25,"[68, 40, 15, 15]","[73, 44, 14, 5]",#527AA0,"[82, 122, 160]"
4B78A9,RAL_250_50_30,RAL 250 50 30,"[72, 43, 9, 10]","[76, 47, 8, 1]",#4B78A9,"[75, 120, 169]"
3B79B1,RAL_250_50_35,RAL 250 50 35,"[76, 44, 6, 6]","[81, 47, 4, 0]",#3B79B1,"[59, 121, 177]"
2A79B9,RAL_250_50_40,RAL 250 50 40,"[80, 44, 3, 2]","[84, 46, 2, 0]",#2A79B9,"[42, 121, 185]"
8694A5,RAL_250_60_10,RAL 250 60 10,"[48, 32, 23, 12]","[47, 30, 18, 9]",#8694A5,"[134, 148, 165]"
8095AE,RAL_250_60_15,RAL 250 60 15,"[52, 31, 18, 10]","[51, 31, 14, 7]",#8095AE,"[128, 149, 174]"
7493B5,RAL_250_60_20,RAL 250 60 20,"[56, 32, 13, 7]","[56, 32, 10, 4]",#7493B5,"[116, 147, 181]"
6B93BD,RAL_250_60_25,RAL 250 60 25,"[60, 33, 9, 5]","[61, 32, 7, 1]",#6B93BD,"[107, 147, 189]"
6293C3,RAL_250_60_30,RAL 250 60 30,"[64, 33, 6, 3]","[64, 32, 4, 0]",#6293C3,"[98, 147, 195]"
5A92CD,RAL_250_60_35,RAL 250 60 35,"[66, 35, 0, 0]","[67, 34, 0, 0]",#5A92CD,"[90, 146, 205]"
5194D7,RAL_250_60_40,RAL 250 60 40,"[68, 35, 0, 0]","[68, 34, 0, 0]",#5194D7,"[81, 148, 215]"
9DAFBF,RAL_250_70_10,RAL 250 70 10,"[40, 22, 16, 5]","[38, 21, 13, 4]",#9DAFBF,"[157, 175, 191]"
99AFC8,RAL_250_70_15,RAL 250 70 15,"[43, 24, 12, 4]","[41, 22, 9, 2]",#99AFC8,"[153, 175, 200]"
8FADD0,RAL_250_70_20,RAL 250 70 20,"[47, 24, 7, 1]","[45, 22, 4, 0]",#8FADD0,"[143, 173, 208]"
89AFD9,RAL_250_70_25,RAL 250 70 25,"[50, 23, 3, 0]","[48, 21, 2, 0]",#89AFD9,"[137, 175, 217]"
7EAEE0,RAL_250_70_30,RAL 250 70 30,"[53, 22, 0, 0]","[51, 21, 0, 0]",#7EAEE0,"[126, 174, 224]"
BACBDA,RAL_250_80_10,RAL 250 80 10,"[30, 14, 10, 1]","[28, 13, 7, 1]",#BACBDA,"[186, 203, 218]"
B6CDE2,RAL_250_80_15,RAL 250 80 15,"[32, 13, 6, 0]","[29, 11, 4, 0]",#B6CDE2,"[182, 205, 226]"
A9C9E8,RAL_250_80_20,RAL 250 80 20,"[37, 13, 2, 0]","[35, 13, 2, 0]",#A9C9E8,"[169, 201, 232]"
DDE5EC,RAL_250_90_05,RAL 250 90 05,"[15, 7, 5, 0]","[14, 7, 4, 0]",#DDE5EC,"[221, 229, 236]"
E2EAF3,RAL_250_92_05,RAL 250 92 05,"[13, 5, 2, 0]","[12, 5, 3, 0]",#E2EAF3,"[226, 234, 243]"
32373E,RAL_260_20_05,RAL 260 20 05,"[74, 60, 49, 58]","[78, 61, 40, 60]",#32373E,"[50, 55, 62]"
303845,RAL_260_20_10,RAL 260 20 10,"[77, 61, 44, 56]","[83, 65, 36, 55]",#303845,"[48, 56, 69]"
2A374B,RAL_260_20_15,RAL 260 20 15,"[81, 63, 37, 54]","[90, 71, 31, 51]",#2A374B,"[42, 55, 75]"
253752,RAL_260_20_20,RAL 260 20 20,"[84, 64, 32, 52]","[92, 72, 28, 46]",#253752,"[37, 55, 82]"
464B53,RAL_260_30_05,RAL 260 30 05,"[67, 53, 45, 46]","[69, 55, 38, 45]",#464B53,"[70, 75, 83]"
424B5A,RAL_260_30_10,RAL 260 30 10,"[71, 55, 39, 44]","[75, 59, 33, 40]",#424B5A,"[66, 75, 90]"
3D4A62,RAL_260_30_15,RAL 260 30 15,"[75, 56, 33, 40]","[82, 65, 30, 34]",#3D4A62,"[61, 74, 98]"
374B6A,RAL_260_30_20,RAL 260 30 20,"[78, 58, 27, 38]","[89, 71, 28, 27]",#374B6A,"[55, 75, 106]"
304A71,RAL_260_30_25,RAL 260 30 25,"[82, 59, 21, 35]","[93, 74, 23, 22]",#304A71,"[48, 74, 113]"
2C4B79,RAL_260_30_30,RAL 260 30 30,"[85, 61, 15, 30]","[95, 75, 13, 18]",#2C4B79,"[44, 75, 121]"
164680,RAL_260_30_35,RAL 260 30 35,"[91, 66, 9, 24]","[98, 79, 8, 13]",#164680,"[22, 70, 128]"
5B6069,RAL_260_40_05,RAL 260 40 05,"[60, 47, 40, 35]","[60, 47, 34, 33]",#5B6069,"[91, 96, 105]"
576272,RAL_260_40_10,RAL 260 40 10,"[64, 47, 34, 31]","[65, 48, 28, 28]",#576272,"[87, 98, 114]"
55627A,RAL_260_40_15,RAL 260 40 15,"[67, 49, 29, 28]","[71, 55, 25, 21]",#55627A,"[85, 98, 122]"
4D6182,RAL_260_40_20,RAL 260 40 20,"[71, 51, 22, 24]","[77, 60, 22, 13]",#4D6182,"[77, 97, 130]"
476088,RAL_260_40_25,RAL 260 40 25,"[74, 52, 18, 23]","[82, 63, 20, 7]",#476088,"[71, 96, 136]"
3E5F8E,RAL_260_40_30,RAL 260 40 30,"[78, 54, 13, 19]","[87, 67, 17, 0]",#3E5F8E,"[62, 95, 142]"
385F97,RAL_260_40_35,RAL 260 40 35,"[80, 56, 9, 14]","[89, 68, 10, 0]",#385F97,"[56, 95, 151]"
235C9F,RAL_260_40_40,RAL 260 40 40,"[87, 60, 4, 7]","[93, 70, 3, 0]",#235C9F,"[35, 92, 159]"
135CA7,RAL_260_40_45,RAL 260 40 45,"[90, 63, 1, 0]","[95, 71, 0, 0]",#135CA7,"[19, 92, 167]"
737880,RAL_260_50_05,RAL 260 50 05,"[53, 40, 33, 23]","[51, 39, 28, 22]",#737880,"[115, 120, 128]"
6F7989,RAL_260_50_10,RAL 260 50 10,"[56, 42, 29, 21]","[55, 41, 23, 18]",#6F7989,"[111, 121, 137]"
687891,RAL_260_50_15,RAL 260 50 15,"[59, 42, 24, 18]","[61, 43, 20, 13]",#687891,"[104, 120, 145]"
66799A,RAL_260_50_20,RAL 260 50 20,"[62, 44, 18, 15]","[64, 46, 16, 8]",#66799A,"[102, 121, 154]"
5F78A3,RAL_260_50_25,RAL 260 50 25,"[65, 45, 13, 11]","[69, 49, 11, 3]",#5F78A3,"[95, 120, 163]"
5678AD,RAL_260_50_30,RAL 260 50 30,"[70, 47, 8, 7]","[73, 50, 5, 1]",#5678AD,"[86, 120, 173]"
4D76B1,RAL_260_50_35,RAL 260 50 35,"[73, 48, 5, 4]","[77, 51, 3, 0]",#4D76B1,"[77, 118, 177]"
4576BB,RAL_260_50_40,RAL 260 50 40,"[76, 50, 0, 0]","[78, 52, 0, 0]",#4576BB,"[69, 118, 187]"
8C919A,RAL_260_60_05,RAL 260 60 05,"[45, 33, 27, 14]","[42, 31, 22, 12]",#8C919A,"[140, 145, 154]"
8891A3,RAL_260_60_10,RAL 260 60 10,"[48, 34, 22, 12]","[46, 33, 18, 10]",#8891A3,"[136, 145, 163]"
8592AC,RAL_260_60_15,RAL 260 60 15,"[50, 35, 17, 9]","[49, 34, 13, 6]",#8592AC,"[133, 146, 172]"
7F91B4,RAL_260_60_20,RAL 260 60 20,"[53, 36, 13, 7]","[53, 36, 9, 4]",#7F91B4,"[127, 145, 180]"
7991BC,RAL_260_60_25,RAL 260 60 25,"[56, 37, 9, 4]","[56, 37, 5, 1]",#7991BC,"[121, 145, 188]"
708FC4,RAL_260_60_30,RAL 260 60 30,"[61, 38, 4, 0]","[60, 38, 2, 0]",#708FC4,"[112, 143, 196]"
6A91CE,RAL_260_60_35,RAL 260 60 35,"[62, 38, 0, 0]","[62, 38, 0, 0]",#6A91CE,"[106, 145, 206]"
A8AEB7,RAL_260_70_05,RAL 260 70 05,"[35, 24, 20, 6]","[33, 22, 16, 5]",#A8AEB7,"[168, 174, 183]"
A4ADC0,RAL_260_70_10,RAL 260 70 10,"[38, 25, 15, 5]","[36, 24, 12, 4]",#A4ADC0,"[164, 173, 192]"
9BACC8,RAL_260_70_15,RAL 260 70 15,"[43, 26, 11, 3]","[40, 24, 7, 1]",#9BACC8,"[155, 172, 200]"
97ACCF,RAL_260_70_20,RAL 260 70 20,"[45, 26, 7, 1]","[43, 25, 4, 0]",#97ACCF,"[151, 172, 207]"
90ACD9,RAL_260_70_25,RAL 260 70 25,"[47, 27, 1, 0]","[45, 25, 0, 0]",#90ACD9,"[144, 172, 217]"
C2C9D0,RAL_260_80_05,RAL 260 80 05,"[26, 15, 14, 2]","[24, 14, 11, 2]",#C2C9D0,"[194, 201, 208]"
BDC9DB,RAL_260_80_10,RAL 260 80 10,"[29, 16, 8, 0]","[27, 15, 6, 0]",#BDC9DB,"[189, 201, 219]"
B6C8E1,RAL_260_80_15,RAL 260 80 15,"[32, 15, 5, 0]","[29, 14, 3, 0]",#B6C8E1,"[182, 200, 225]"
DCE3E9,RAL_260_90_05,RAL 260 90 05,"[15, 7, 7, 0]","[14, 7, 5, 0]",#DCE3E9,"[220, 227, 233]"
2A3454,RAL_270_20_20,RAL 270 20 20,"[84, 69, 28, 49]","[92, 80, 27, 42]",#2A3454,"[42, 52, 84]"
28355A,RAL_270_20_25,RAL 270 20 25,"[86, 70, 22, 46]","[95, 84, 22, 36]",#28355A,"[40, 53, 90]"
253462,RAL_270_20_29,RAL 270 20 29,"[89, 74, 17, 40]","[95, 87, 20, 28]",#253462,"[37, 52, 98]"
464E65,RAL_270_30_15,RAL 270 30 15,"[71, 57, 33, 38]","[77, 66, 30, 31]",#464E65,"[70, 78, 101]"
414B6A,RAL_270_30_20,RAL 270 30 20,"[75, 60, 27, 35]","[84, 74, 29, 23]",#414B6A,"[65, 75, 106]"
3E4B72,RAL_270_30_25,RAL 270 30 25,"[77, 62, 21, 31]","[88, 77, 24, 16]",#3E4B72,"[62, 75, 114]"
39497A,RAL_270_30_30,RAL 270 30 30,"[82, 66, 15, 26]","[92, 81, 15, 13]",#39497A,"[57, 73, 122]"
334680,RAL_270_30_35,RAL 270 30 35,"[85, 70, 10, 22]","[94, 87, 11, 7]",#334680,"[51, 70, 128]"
2B438A,RAL_270_30_40,RAL 270 30 40,"[91, 75, 4, 12]","[96, 91, 3, 3]",#2B438A,"[43, 67, 138]"
5A637C,RAL_270_40_15,RAL 270 40 15,"[65, 51, 28, 26]","[68, 56, 25, 19]",#5A637C,"[90, 99, 124]"
556184,RAL_270_40_20,RAL 270 40 20,"[68, 53, 21, 22]","[74, 62, 21, 11]",#556184,"[85, 97, 132]"
53618B,RAL_270_40_25,RAL 270 40 25,"[71, 55, 17, 19]","[77, 66, 18, 4]",#53618B,"[83, 97, 139]"
4F5E93,RAL_270_40_30,RAL 270 40 30,"[74, 59, 11, 14]","[81, 71, 12, 0]",#4F5E93,"[79, 94, 147]"
465C9B,RAL_270_40_35,RAL 270 40 35,"[78, 62, 6, 8]","[85, 73, 4, 0]",#465C9B,"[70, 92, 155]"
435BA2,RAL_270_40_40,RAL 270 40 40,"[81, 65, 2, 2]","[86, 75, 0, 0]",#435BA2,"[67, 91, 162]"
737A8E,RAL_270_50_10,RAL 270 50 10,"[55, 42, 27, 19]","[54, 42, 22, 16]",#737A8E,"[115, 122, 142]"
737B96,RAL_270_50_15,RAL 270 50 15,"[56, 43, 22, 16]","[56, 44, 18, 11]",#737B96,"[115, 123, 150]"
6C789D,RAL_270_50_20,RAL 270 50 20,"[60, 46, 16, 13]","[62, 49, 14, 6]",#6C789D,"[108, 120, 157]"
6977A5,RAL_270_50_25,RAL 270 50 25,"[62, 48, 11, 8]","[65, 52, 9, 2]",#6977A5,"[105, 119, 165]"
6574AD,RAL_270_50_30,RAL 270 50 30,"[66, 52, 6, 4]","[68, 56, 3, 0]",#6574AD,"[101, 116, 173]"
5F74B3,RAL_270_50_35,RAL 270 50 35,"[69, 53, 3, 0]","[70, 55, 1, 0]",#5F74B3,"[95, 116, 179]"
5A73BD,RAL_270_50_40,RAL 270 50 40,"[71, 55, 0, 0]","[72, 58, 0, 0]",#5A73BD,"[90, 115, 189]"
8B93A7,RAL_270_60_10,RAL 270 60 10,"[47, 35, 21, 11]","[45, 34, 16, 9]",#8B93A7,"[139, 147, 167]"
8A93B0,RAL_270_60_15,RAL 270 60 15,"[49, 36, 15, 7]","[47, 35, 11, 5]",#8A93B0,"[138, 147, 176]"
8692B8,RAL_270_60_20,RAL 270 60 20,"[51, 38, 10, 4]","[50, 38, 7, 2]",#8692B8,"[134, 146, 184]"
8091BF,RAL_270_60_25,RAL 270 60 25,"[55, 39, 6, 1]","[53, 39, 3, 0]",#8091BF,"[128, 145, 191]"
7D8FC9,RAL_270_60_30,RAL 270 60 30,"[56, 41, 0, 0]","[55, 42, 0, 0]",#7D8FC9,"[125, 143, 201]"
778DD0,RAL_270_60_35,RAL 270 60 35,"[58, 43, 0, 0]","[57, 43, 0, 0]",#778DD0,"[119, 141, 208]"
A7AEC3,RAL_270_70_10,RAL 270 70 10,"[37, 26, 13, 4]","[35, 24, 10, 2]",#A7AEC3,"[167, 174, 195]"
A3ACCA,RAL_270_70_15,RAL 270 70 15,"[40, 28, 9, 2]","[37, 27, 6, 0]",#A3ACCA,"[163, 172, 202]"
A0ACD5,RAL_270_70_20,RAL 270 70 20,"[42, 29, 2, 0]","[39, 27, 1, 0]",#A0ACD5,"[160, 172, 213]"
9AA9DB,RAL_270_70_25,RAL 270 70 25,"[44, 31, 0, 0]","[42, 30, 0, 0]",#9AA9DB,"[154, 169, 219]"
C3CADD,RAL_270_80_10,RAL 270 80 10,"[26, 17, 6, 0]","[24, 16, 4, 0]",#C3CADD,"[195, 202, 221]"
BFC8E4,RAL_270_80_15,RAL 270 80 15,"[29, 19, 2, 0]","[26, 17, 1, 0]",#BFC8E4,"[191, 200, 228]"
E2E4ED,RAL_270_90_05,RAL 270 90 05,"[13, 9, 4, 0]","[12, 8, 4, 0]",#E2E4ED,"[226, 228, 237]"
32354C,RAL_280_20_15,RAL 280 20 15,"[78, 67, 36, 52]","[87, 78, 33, 46]",#32354C,"[50, 53, 76]"
313451,RAL_280_20_20,RAL 280 20 20,"[80, 70, 30, 49]","[88, 83, 29, 41]",#313451,"[49, 52, 81]"
32345A,RAL_280_20_25,RAL 280 20 25,"[83, 73, 24, 44]","[91, 87, 25, 34]",#32345A,"[50, 52, 90]"
2D315F,RAL_280_20_30,RAL 280 20 30,"[87, 78, 19, 40]","[92, 91, 22, 27]",#2D315F,"[45, 49, 95]"
484B53,RAL_280_30_05,RAL 280 30 05,"[66, 54, 44, 45]","[68, 58, 38, 44]",#484B53,"[72, 75, 83]"
494A5C,RAL_280_30_10,RAL 280 30 10,"[68, 58, 38, 42]","[73, 64, 33, 36]",#494A5C,"[73, 74, 92]"
494A64,RAL_280_30_15,RAL 280 30 15,"[71, 61, 32, 38]","[78, 73, 31, 29]",#494A64,"[73, 74, 100]"
45486A,RAL_280_30_20,RAL 280 30 20,"[74, 64, 25, 35]","[84, 80, 29, 20]",#45486A,"[69, 72, 106]"
444772,RAL_280_30_25,RAL 280 30 25,"[77, 67, 20, 29]","[87, 84, 22, 14]",#444772,"[68, 71, 114]"
404478,RAL_280_30_30,RAL 280 30 30,"[80, 71, 15, 25]","[90, 89, 16, 9]",#404478,"[64, 68, 120]"
3E437E,RAL_280_30_35,RAL 280 30 35,"[83, 74, 11, 21]","[91, 94, 13, 4]",#3E437E,"[62, 67, 126]"
3C4285,RAL_280_30_40,RAL 280 30 40,"[86, 76, 6, 13]","[93, 96, 6, 1]",#3C4285,"[60, 66, 133]"
5F616A,RAL_280_40_05,RAL 280 40 05,"[59, 48, 39, 33]","[59, 48, 33, 32]",#5F616A,"[95, 97, 106]"
5D5F71,RAL_280_40_10,RAL 280 40 10,"[61, 51, 33, 30]","[62, 54, 28, 27]",#5D5F71,"[93, 95, 113]"
5C5D78,RAL_280_40_15,RAL 280 40 15,"[64, 54, 27, 27]","[67, 61, 25, 18]",#5C5D78,"[92, 93, 120]"
5A5C81,RAL_280_40_20,RAL 280 40 20,"[67, 58, 20, 22]","[73, 69, 22, 9]",#5A5C81,"[90, 92, 129]"
5B5C8B,RAL_280_40_25,RAL 280 40 25,"[69, 61, 15, 17]","[75, 72, 16, 2]",#5B5C8B,"[91, 92, 139]"
575A8F,RAL_280_40_30,RAL 280 40 30,"[72, 63, 12, 13]","[78, 75, 12, 0]",#575A8F,"[87, 90, 143]"
545897,RAL_280_40_35,RAL 280 40 35,"[75, 66, 7, 7]","[79, 76, 5, 0]",#545897,"[84, 88, 151]"
4F56A0,RAL_280_40_40,RAL 280 40 40,"[78, 69, 2, 0]","[82, 79, 0, 0]",#4F56A0,"[79, 86, 160]"
4B54A9,RAL_280_40_45,RAL 280 40 45,"[80, 71, 0, 0]","[84, 81, 0, 0]",#4B54A9,"[75, 84, 169]"
767982,RAL_280_50_05,RAL 280 50 05,"[52, 41, 33, 23]","[50, 40, 27, 21]",#767982,"[118, 121, 130]"
76778A,RAL_280_50_10,RAL 280 50 10,"[53, 44, 27, 19]","[53, 44, 22, 17]",#76778A,"[118, 119, 138]"
767692,RAL_280_50_15,RAL 280 50 15,"[55, 47, 22, 16]","[55, 49, 18, 11]",#767692,"[118, 118, 146]"
72769C,RAL_280_50_20,RAL 280 50 20,"[58, 49, 15, 12]","[60, 53, 13, 4]",#72769C,"[114, 118, 156]"
7373A3,RAL_280_50_25,RAL 280 50 25,"[60, 53, 10, 7]","[62, 57, 8, 1]",#7373A3,"[115, 115, 163]"
7171AB,RAL_280_50_30,RAL 280 50 30,"[63, 56, 6, 2]","[63, 60, 3, 0]",#7171AB,"[113, 113, 171]"
6B6FB2,RAL_280_50_35,RAL 280 50 35,"[65, 57, 0, 0]","[65, 61, 0, 0]",#6B6FB2,"[107, 111, 178]"
686EBD,RAL_280_50_40,RAL 280 50 40,"[67, 58, 0, 0]","[67, 62, 0, 0]",#686EBD,"[104, 110, 189]"
90929C,RAL_280_60_05,RAL 280 60 05,"[44, 34, 27, 13]","[41, 32, 22, 12]",#90929C,"[144, 146, 156]"
8C8FA4,RAL_280_60_10,RAL 280 60 10,"[46, 37, 20, 11]","[44, 36, 16, 8]",#8C8FA4,"[140, 143, 164]"
8C8DAC,RAL_280_60_15,RAL 280 60 15,"[48, 40, 15, 8]","[47, 40, 12, 5]",#8C8DAC,"[140, 141, 172]"
8C8DB5,RAL_280_60_20,RAL 280 60 20,"[49, 42, 9, 4]","[48, 43, 7, 1]",#8C8DB5,"[140, 141, 181]"
