bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
34828A,RAL_200_50_25,RAL 200 50 25,"[72, 21, 34, 24]","[78, 22, 33, 13]",#34828A,"[52, 130, 138]"
1C858E,RAL_200_50_30,RAL 200 50 30,"[76, 16, 34, 23]","[84, 20, 35, 9]",#1C858E,"[28, 133, 142]"
098690,RAL_200_50_35,RAL 200 50 35,"[80, 14, 33, 22]","[89, 20, 35, 5]",#098690,"[9, 134, 144]"
008794,RAL_200_50_40,RAL 200 50 40,"[84, 11, 33, 21]","[92, 15, 34, 6]",#008794,"[0, 135, 148]"
008696,RAL_200_50_45,RAL 200 50 45,"[88, 9, 31, 21]","[95, 11, 31, 9]",#008696,"[0, 134, 150]"
869596,RAL_200_60_05,RAL 200 60 05,"[47, 28, 32, 15]","[45, 25, 27, 13]",#869596,"[134, 149, 150]"
7D989A,RAL_200_60_10,RAL 200 60 10,"[51, 24, 31, 14]","[49, 22, 26, 12]",#7D989A,"[125, 152, 154]"
6E9A9E,RAL_200_60_15,RAL 200 60 15,"[56, 21, 31, 13]","[56, 18, 26, 10]",#6E9A9E,"[110, 154, 158]"
639CA0,RAL_200_60_20,RAL 200 60 20,"[60, 17, 31, 12]","[61, 16, 27, 8]",#639CA0,"[99, 156, 160]"
519EA3,RAL_200_60_25,RAL 200 60 25,"[65, 14, 31, 11]","[67, 14, 29, 5]",#519EA3,"[81, 158, 163]"
379EA5,RAL_200_60_30,RAL 200 60 30,"[69, 11, 31, 10]","[73, 13, 30, 2]",#379EA5,"[55, 158, 165]"
27A0AB,RAL_200_60_35,RAL 200 60 35,"[72, 9, 29, 9]","[76, 11, 27, 1]",#27A0AB,"[39, 160, 171]"
14A2AF,RAL_200_60_40,RAL 200 60 40,"[75, 6, 29, 7]","[80, 6, 27, 0]",#14A2AF,"[20, 162, 175]"
A1AEB0,RAL_200_70_05,RAL 200 70 05,"[38, 22, 25, 8]","[36, 19, 20, 7]",#A1AEB0,"[161, 174, 176]"
94B3B7,RAL_200_70_10,RAL 200 70 10,"[44, 16, 24, 6]","[42, 14, 20, 5]",#94B3B7,"[148, 179, 183]"
88B4B7,RAL_200_70_15,RAL 200 70 15,"[49, 13, 26, 5]","[47, 12, 21, 4]",#88B4B7,"[136, 180, 183]"
7FB7B9,RAL_200_70_20,RAL 200 70 20,"[52, 10, 26, 4]","[51, 9, 22, 2]",#7FB7B9,"[127, 183, 185]"
6FB9C1,RAL_200_70_25,RAL 200 70 25,"[57, 7, 24, 2]","[56, 5, 20, 1]",#6FB9C1,"[111, 185, 193]"
BDCCCB,RAL_200_80_05,RAL 200 80 05,"[29, 12, 19, 2]","[26, 11, 15, 1]",#BDCCCB,"[189, 204, 203]"
AECDCF,RAL_200_80_10,RAL 200 80 10,"[35, 8, 18, 1]","[33, 7, 15, 1]",#AECDCF,"[174, 205, 207]"
A3D0CF,RAL_200_80_15,RAL 200 80 15,"[40, 4, 21, 0]","[37, 4, 17, 0]",#A3D0CF,"[163, 208, 207]"
98D4D6,RAL_200_80_20,RAL 200 80 20,"[43, 0, 19, 0]","[40, 1, 15, 0]",#98D4D6,"[152, 212, 214]"
88D4D9,RAL_200_80_25,RAL 200 80 25,"[47, 0, 19, 0]","[44, 0, 15, 0]",#88D4D9,"[136, 212, 217]"
D9E9E8,RAL_200_90_05,RAL 200 90 05,"[17, 2, 10, 0]","[15, 3, 7, 0]",#D9E9E8,"[217, 233, 232]"
CDEBE9,RAL_200_90_10,RAL 200 90 10,"[22, 0, 12, 0]","[20, 1, 9, 0]",#CDEBE9,"[205, 235, 233]"
DBECEF,RAL_200_92_05,RAL 200 92 05,"[16, 1, 7, 0]","[14, 2, 5, 0]",#DBECEF,"[219, 236, 239]"
284F56,RAL_210_30_15,RAL 210 30 15,"[78, 41, 43, 49]","[85, 35, 35, 49]",#284F56,"[40, 79, 86]"
